Symbol,Company Name,ISIN Code,Industry
360ONE,360 ONE WAM Ltd.,INE466L01038,Financial Services
3MINDIA,3M India Ltd.,INE470A01017,Diversified
ABB,ABB India Ltd.,INE117A01022,Capital Goods
ACC,ACC Ltd.,INE012A01025,Construction Materials
AIAENG,AIA Engineering Ltd.,INE212H01026,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,INE949L01017,Financial Services
AWL,AWL Agri Business Ltd.,INE699H01024,Fast Moving Consumer Goods
ABBOTINDIA,Abbott India Ltd.,INE358A01014,Healthcare
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,Power
ADANIENT,Adani Enterprises Ltd.,INE423A01024,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,Services
ADANIPOWER,Adani Power Ltd.,INE814H01029,Power
ATGL,Adani Total Gas Ltd.,INE399L01023,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,Financial Services
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,INE031B01049,Healthcare
ALKEM,Alkem Laboratories Ltd.,INE540L01014,Healthcare
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,Construction Materials
APARINDS,Apar Industries Ltd.,INE372A01015,Capital Goods
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,INE437A01024,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,INE438A01022,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,Capital Goods
ASIANPAINT,Asian Paints Ltd.,INE021A01026,Consumer Durables
ASTRAL,Astral Ltd.,INE006I01046,Capital Goods
AUROPHARMA,Aurobindo Pharma Ltd.,INE406A01037,Healthcare
DMART,Avenue Supermarts Ltd.,INE192R01011,Consumer Services
AXISBANK,Axis Bank Ltd.,INE238A01034,Financial Services
BSE,BSE Ltd.,INE118H01025,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,INE917I01010,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,INE918I01026,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,INE118A01012,Financial Services
BAJAJHFL,Bajaj Housing Finance Ltd.,INE377Y01014,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,INE787D01026,Automobile and Auto Components
BANKBARODA,Bank of Baroda,INE028A01039,Financial Services
BANKINDIA,Bank of India,INE084A01016,Financial Services
MAHABANK,Bank of Maharashtra,INE457A01014,Financial Services
BERGEPAINT,Berger Paints India Ltd.,INE463A01038,Consumer Durables
BDL,Bharat Dynamics Ltd.,INE171Z01026,Capital Goods
BEL,Bharat Electronics Ltd.,INE263A01024,Capital Goods
BHARATFORG,Bharat Forge Ltd.,INE465A01025,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,INE257A01026,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,INE029A01011,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,INE397D01024,Telecommunication
BHARTIHEXA,Bharti Hexacom Ltd.,INE343G01021,Telecommunication
BIOCON,Biocon Ltd.,INE376G01013,Healthcare
BLUESTARCO,Blue Star Ltd.,INE472A01039,Consumer Durables
BOSCHLTD,Bosch Ltd.,INE323A01026,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd.,INE216A01030,Fast Moving Consumer Goods
CGPOWER,CG Power and Industrial Solutions Ltd.,INE067A01029,Capital Goods
CRISIL,CRISIL Ltd.,INE007A01025,Financial Services
CANBK,Canara Bank,INE476A01022,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,INE121A01024,Financial Services
CIPLA,Cipla Ltd.,INE059A01026,Healthcare
COALINDIA,Coal India Ltd.,INE522F01014,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,INE704P01025,Capital Goods
COFORGE,Coforge Ltd.,INE591G01025,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,INE259A01022,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,INE111A01025,Services
COROMANDEL,Coromandel International Ltd.,INE169A01031,Chemicals
CUMMINSIND,Cummins India Ltd.,INE298A01020,Capital Goods
DLF,DLF Ltd.,INE271C01023,Realty
DABUR,Dabur India Ltd.,INE016A01026,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,INE00R701025,Construction Materials
